Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
459.5,525.0,624.93,459.6,1124.16,405.2,1.15,7.66,405.0,147.9,Oxygen,3683,jita,2025-10-21 19:08:33
12120.0,14000.0,14031.36,12120.0,8517.8,11670.0,29.5,511.68,11670.0,5472.02,Coolant,9832,jita,2025-10-21 19:08:33
13820.0,14200.0,15367.72,13820.0,10235.87,13590.0,1.15,4.04,13590.0,4811.72,Enriched Uranium,44,jita,2025-10-21 19:08:33
12110.0,12570.0,12516.5,12120.0,345.41,11560.0,1.15,24.65,11560.0,4352.34,Mechanical Parts,3689,jita,2025-10-21 19:08:33
88800.0,93000.0,93706.49,89000.0,3756.73,83300.0,15.15,484.77,83200.0,30543.98,Robotics,9848,jita,2025-10-21 19:08:33
165.0,175.0,185.6,173.0,1452.94,140.4,119.4,58.82,140.0,55.5,Liquid Ozone,16273,jita,2025-10-21 19:08:33
116.9,124.0,127.06,116.9,3245.23,107.0,12.07,23.14,107.0,38.04,Heavy Water,16272,jita,2025-10-21 19:08:33
5200.0,5339.0,5825.97,5319.0,181362.18,4899.0,4400.0,4086.05,4899.0,508.76,Strontium Clathrates,16275,jita,2025-10-21 19:08:33
1125.0,1125.0,1200.55,1125.0,125.42,1088.0,967.1,769.66,1088.0,261.36,Helium Isotopes,16274,jita,2025-10-21 19:08:33
754.5,769.9,809.68,754.5,143.21,720.3,80.0,62.69,720.1,322.53,Hydrogen Isotopes,17889,jita,2025-10-21 19:08:33
848.9,880.0,896.25,849.0,63.48,794.5,0.11,1.02,792.8,328.88,Nitrogen Isotopes,17888,jita,2025-10-21 19:08:33
895.0,989.9,1107.19,903.5,337.16,865.7,0.15,1.05,865.1,346.69,Oxygen Isotopes,17887,jita,2025-10-21 19:08:33
24120.0,24880.0,25567.03,24130.0,924268.26,23490.0,0.01,0.01,0.01,1925.44,Helium Fuel Block,4247,jita,2025-10-21 19:08:33
21350.0,22000.0,22188.89,21350.0,897.7,19480.0,0.01,0.01,0.15,1224.37,Hydrogen Fuel Block,4246,jita,2025-10-21 19:08:33
21310.0,21460.0,21982.68,21310.0,916.2,20240.0,0.01,0.01,0.15,1138.6,Nitrogen Fuel Block,4051,jita,2025-10-21 19:08:33
21410.0,22890.0,22623.16,21410.0,1361.63,19700.0,0.01,0.01,0.15,886.41,Oxygen Fuel Block,4312,jita,2025-10-21 19:08:33
450.0,525.0,623.29,459.5,1120.1,405.0,1.15,7.47,400.1,146.43,Oxygen,3683,jita,2025-10-21 19:32:53
12110.0,14000.0,14009.5,12110.0,8476.3,11670.0,29.5,511.68,11670.0,5472.02,Coolant,9832,jita,2025-10-21 19:32:53
13810.0,14200.0,15367.65,13820.0,10235.66,13590.0,1.15,4.04,13590.0,4811.72,Enriched Uranium,44,jita,2025-10-21 19:32:53
12110.0,12570.0,12519.04,12130.0,344.96,11560.0,1.15,24.65,11560.0,4352.34,Mechanical Parts,3689,jita,2025-10-21 19:32:53
89000.0,93520.0,93725.5,89000.0,3751.94,83300.0,15.15,484.77,83200.0,30543.98,Robotics,9848,jita,2025-10-21 19:32:53
165.0,175.0,185.6,173.0,1453.06,140.5,119.4,58.95,140.2,55.51,Liquid Ozone,16273,jita,2025-10-21 19:32:53
116.8,123.9,127.04,116.9,3242.63,107.1,12.07,23.16,107.0,38.07,Heavy Water,16272,jita,2025-10-21 19:32:53
5319.0,5339.0,5826.83,5319.0,181484.52,4899.0,4400.0,4086.05,4899.0,508.76,Strontium Clathrates,16275,jita,2025-10-21 19:32:53
1125.0,1125.0,1206.18,1125.0,127.86,1088.0,967.1,769.5,1088.0,261.39,Helium Isotopes,16274,jita,2025-10-21 19:32:53
754.5,775.0,810.36,754.8,143.89,720.3,80.0,62.69,720.1,322.53,Hydrogen Isotopes,17889,jita,2025-10-21 19:32:53
848.9,880.0,896.26,849.0,63.48,794.4,0.11,1.01,792.8,328.23,Nitrogen Isotopes,17888,jita,2025-10-21 19:32:53
903.4,989.9,1108.35,903.4,337.57,865.8,0.15,1.06,865.1,346.81,Oxygen Isotopes,17887,jita,2025-10-21 19:32:53
24110.0,24880.0,25552.07,24120.0,919655.83,23490.0,0.01,0.01,0.01,1925.44,Helium Fuel Block,4247,jita,2025-10-21 19:32:53
21340.0,22000.0,22186.96,21350.0,897.63,19480.0,0.01,0.01,0.15,1224.37,Hydrogen Fuel Block,4246,jita,2025-10-21 19:32:53
21310.0,21460.0,22014.32,21320.0,924.78,20050.0,0.01,0.01,0.15,1096.08,Nitrogen Fuel Block,4051,jita,2025-10-21 19:32:53
21390.0,22890.0,22621.29,21410.0,1361.57,19700.0,0.01,0.01,0.15,886.41,Oxygen Fuel Block,4312,jita,2025-10-21 19:32:53
437.4,519.9,578.14,437.4,1014.62,404.3,1.15,10.95,404.3,165.59,Oxygen,3683,jita,2025-10-23 19:00:25
13310.0,14000.0,14099.53,13310.0,8629.02,12400.0,11100.0,1219.88,12310.0,5706.69,Coolant,9832,jita,2025-10-23 19:00:25
14090.0,14900.0,15796.02,14100.0,11551.45,13830.0,1.15,7.29,13820.0,5556.27,Enriched Uranium,44,jita,2025-10-23 19:00:25
12170.0,12570.0,12575.25,12170.0,332.48,11720.0,1350.0,115.0,11720.0,5320.55,Mechanical Parts,3689,jita,2025-10-23 19:00:25
90210.0,92490.0,93555.96,90230.0,3659.56,86230.0,9249.0,872.46,86230.0,35712.95,Robotics,9848,jita,2025-10-23 19:00:25
159.9,175.0,185.01,165.0,1441.62,152.3,132.0,69.14,151.0,55.44,Liquid Ozone,16273,jita,2025-10-23 19:00:25
115.5,121.1,126.69,115.8,3200.89,115.4,12.07,22.96,107.6,37.87,Heavy Water,16272,jita,2025-10-23 19:00:25
4899.0,5500.0,5797.88,5000.0,184714.4,4803.0,4400.0,4039.21,4803.0,485.42,Strontium Clathrates,16275,jita,2025-10-23 19:00:25
1050.0,1238.0,1217.88,1050.0,144.65,980.0,861.2,589.28,980.0,305.99,Helium Isotopes,16274,jita,2025-10-23 19:00:25
763.0,793.6,841.44,764.0,168.57,705.0,80.0,46.95,705.0,310.28,Hydrogen Isotopes,17889,jita,2025-10-23 19:00:25
829.3,879.9,883.53,829.3,61.56,791.0,0.11,1.63,791.0,351.43,Nitrogen Isotopes,17888,jita,2025-10-23 19:00:25
880.0,947.5,1078.3,880.0,328.98,871.1,0.15,1.04,871.1,346.36,Oxygen Isotopes,17887,jita,2025-10-23 19:00:25
23800.0,24760.0,25745.67,23800.0,1063719.44,23790.0,0.01,0.01,0.01,1844.31,Helium Fuel Block,4247,jita,2025-10-23 19:00:25
22330.0,22360.0,22700.43,22330.0,679.7,21000.0,0.01,0.01,0.15,1368.94,Hydrogen Fuel Block,4246,jita,2025-10-23 19:00:25
21170.0,21460.0,21913.01,21170.0,880.45,20340.0,0.01,0.01,0.15,983.7,Nitrogen Fuel Block,4051,jita,2025-10-23 19:00:25
21810.0,23110.0,23398.05,21810.0,1405.52,19800.0,0.01,0.01,0.15,1235.69,Oxygen Fuel Block,4312,jita,2025-10-23 19:00:25
409.9,519.9,576.53,427.0,1019.75,340.1,1.15,6.83,340.1,140.07,Oxygen,3683,jita,2025-10-25 18:53:02
13160.0,13680.0,13917.39,13190.0,7759.48,12580.0,29.5,573.85,12580.0,5758.56,Coolant,9832,jita,2025-10-25 18:53:02
14130.0,14900.0,15887.29,14140.0,11855.0,13290.0,1.15,2.74,13290.0,4208.82,Enriched Uranium,44,jita,2025-10-25 18:53:02
12000.0,12630.0,12680.3,12250.0,297.86,11900.0,1.15,36.75,11730.0,4719.0,Mechanical Parts,3689,jita,2025-10-25 18:53:02
89350.0,92380.0,93073.36,89390.0,3743.63,86010.0,15.15,258.84,83330.0,21565.58,Robotics,9848,jita,2025-10-25 18:53:02
145.0,175.0,183.6,145.0,1412.34,139.9,132.0,64.8,139.9,55.5,Liquid Ozone,16273,jita,2025-10-25 18:53:02
109.4,121.1,125.69,109.5,3094.59,99.67,12.07,23.67,99.66,37.31,Heavy Water,16272,jita,2025-10-25 18:53:02
5000.0,5000.0,6277.91,5000.0,80263.86,4451.0,4400.0,4075.61,4451.0,470.24,Strontium Clathrates,16275,jita,2025-10-25 18:53:02
1215.0,1218.0,1280.59,1215.0,83.11,1000.0,861.3,635.79,1000.0,289.33,Helium Isotopes,16274,jita,2025-10-25 18:53:02
721.0,781.5,821.63,721.0,158.22,696.0,80.0,43.87,696.0,300.81,Hydrogen Isotopes,17889,jita,2025-10-25 18:53:02
837.2,880.0,881.01,837.2,41.0,762.0,0.11,1.1,760.5,321.47,Nitrogen Isotopes,17888,jita,2025-10-25 18:53:02
896.4,934.8,1070.04,896.4,325.5,878.0,0.15,1.19,876.5,356.99,Oxygen Isotopes,17887,jita,2025-10-25 18:53:02
24230.0,24500.0,25713.87,24230.0,1046125.21,23650.0,0.01,0.01,0.01,1515.06,Helium Fuel Block,4247,jita,2025-10-25 18:53:02
22050.0,22370.0,22684.59,22050.0,776.4,20010.0,0.01,0.01,0.15,1745.53,Hydrogen Fuel Block,4246,jita,2025-10-25 18:53:02
21380.0,22500.0,22530.68,21430.0,912.76,20590.0,0.01,0.01,0.15,1192.15,Nitrogen Fuel Block,4051,jita,2025-10-25 18:53:02
22860.0,23440.0,24164.27,22860.0,1180.44,20640.0,0.01,0.01,0.15,1494.4,Oxygen Fuel Block,4312,jita,2025-10-25 18:53:02
409.9,519.9,576.53,427.0,1019.75,340.2,1.15,7.37,340.2,142.73,Oxygen,3683,jita,2025-10-25 19:00:46
13100.0,13680.0,13916.58,13100.0,7764.81,12580.0,29.5,573.85,12580.0,5758.56,Coolant,9832,jita,2025-10-25 19:00:46
14120.0,14900.0,15881.61,14140.0,11837.81,13290.0,1.15,2.74,13290.0,4208.82,Enriched Uranium,44,jita,2025-10-25 19:00:46
11990.0,12580.0,12653.49,11990.0,320.23,11900.0,1.15,36.72,11730.0,4718.36,Mechanical Parts,3689,jita,2025-10-25 19:00:46
89350.0,92380.0,93068.48,89390.0,3743.69,86010.0,15.15,258.84,83330.0,21565.58,Robotics,9848,jita,2025-10-25 19:00:46
145.0,175.0,183.6,145.0,1412.34,139.9,132.0,64.8,139.9,55.5,Liquid Ozone,16273,jita,2025-10-25 19:00:46
109.5,121.1,125.77,109.5,3101.87,99.68,12.07,23.84,99.67,37.47,Heavy Water,16272,jita,2025-10-25 19:00:46
4453.0,5000.0,6280.29,5000.0,80330.6,4452.0,4400.0,4075.54,4451.0,470.32,Strontium Clathrates,16275,jita,2025-10-25 19:00:46
1215.0,1218.0,1280.65,1216.0,83.12,1002.0,861.3,636.26,1000.0,289.22,Helium Isotopes,16274,jita,2025-10-25 19:00:46
721.0,781.5,822.03,721.0,158.37,696.1,80.0,43.85,696.0,300.79,Hydrogen Isotopes,17889,jita,2025-10-25 19:00:46
837.2,880.0,881.06,837.2,40.99,780.4,0.11,1.13,762.0,323.05,Nitrogen Isotopes,17888,jita,2025-10-25 19:00:46
896.4,934.8,1070.12,896.4,325.54,878.1,0.15,1.19,876.5,357.0,Oxygen Isotopes,17887,jita,2025-10-25 19:00:46
24230.0,24500.0,25713.87,24230.0,1046125.21,23650.0,0.01,0.01,0.01,1515.06,Helium Fuel Block,4247,jita,2025-10-25 19:00:46
22040.0,22370.0,22673.02,22040.0,774.36,20010.0,0.01,0.01,0.15,1745.53,Hydrogen Fuel Block,4246,jita,2025-10-25 19:00:46
21460.0,23000.0,22583.25,21460.0,900.59,20590.0,0.01,0.01,0.15,1188.68,Nitrogen Fuel Block,4051,jita,2025-10-25 19:00:46
